natural_language,sql_query
Can you show securities ordered by maturity date descending?,SELECT * FROM FixedIncomeSecurities ORDER BY MaturityDate DESC
Show top 5 portfolios with longest descriptions,SELECT TOP 5 * FROM Portfolios ORDER BY LEN(Description) DESC
List top 5 portfolios with longest descriptions,SELECT TOP 5 * FROM Portfolios ORDER BY LEN(Description) DESC
Fetch top 5 portfolios with longest descriptions,SELECT TOP 5 * FROM Portfolios ORDER BY LEN(Description) DESC
Retrieve top 5 portfolios with longest descriptions,SELECT TOP 5 * FROM Portfolios ORDER BY LEN(Description) DESC
Give me top 5 portfolios with longest descriptions,SELECT TOP 5 * FROM Portfolios ORDER BY LEN(Description) DESC
Display top 5 portfolios with longest descriptions,SELECT TOP 5 * FROM Portfolios ORDER BY LEN(Description) DESC
What are the top 5 portfolios with longest descriptions?,SELECT TOP 5 * FROM Portfolios ORDER BY LEN(Description) DESC
Can you show top 5 portfolios with longest descriptions?,SELECT TOP 5 * FROM Portfolios ORDER BY LEN(Description) DESC
Show top 10 securities with highest coupon rate,SELECT TOP 10 * FROM FixedIncomeSecurities ORDER BY CouponRate DESC
List top 10 securities with highest coupon rate,SELECT TOP 10 * FROM FixedIncomeSecurities ORDER BY CouponRate DESC
Fetch top 10 securities with highest coupon rate,SELECT TOP 10 * FROM FixedIncomeSecurities ORDER BY CouponRate DESC
Retrieve top 10 securities with highest coupon rate,SELECT TOP 10 * FROM FixedIncomeSecurities ORDER BY CouponRate DESC
Give me top 10 securities with highest coupon rate,SELECT TOP 10 * FROM FixedIncomeSecurities ORDER BY CouponRate DESC
Display top 10 securities with highest coupon rate,SELECT TOP 10 * FROM FixedIncomeSecurities ORDER BY CouponRate DESC
What are the top 10 securities with highest coupon rate?,SELECT TOP 10 * FROM FixedIncomeSecurities ORDER BY CouponRate DESC
Can you show top 10 securities with highest coupon rate?,SELECT TOP 10 * FROM FixedIncomeSecurities ORDER BY CouponRate DESC
Show portfolios that contain the word 'sovereign',SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
List portfolios that contain the word 'sovereign',SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
Fetch portfolios that contain the word 'sovereign',SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
Retrieve portfolios that contain the word 'sovereign',SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
Give me portfolios that contain the word 'sovereign',SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
Display portfolios that contain the word 'sovereign',SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
What are the portfolios that contain the word 'sovereign'?,SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
Can you show portfolios that contain the word 'sovereign'?,SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
Show holdings purchased between 2021 and 2022,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2021-01-01' AND '2022-12-31'
List holdings purchased between 2021 and 2022,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2021-01-01' AND '2022-12-31'
Fetch holdings purchased between 2021 and 2022,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2021-01-01' AND '2022-12-31'
Retrieve holdings purchased between 2021 and 2022,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2021-01-01' AND '2022-12-31'
Give me holdings purchased between 2021 and 2022,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2021-01-01' AND '2022-12-31'
Display holdings purchased between 2021 and 2022,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2021-01-01' AND '2022-12-31'
What are the holdings purchased between 2021 and 2022?,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2021-01-01' AND '2022-12-31'
Can you show holdings purchased between 2021 and 2022?,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2021-01-01' AND '2022-12-31'
Show securities with currency in usd or eur,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
List securities with currency in usd or eur,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
Fetch securities with currency in usd or eur,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
Retrieve securities with currency in usd or eur,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
Give me securities with currency in usd or eur,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
Display securities with currency in usd or eur,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
What are the securities with currency in usd or eur?,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
Can you show securities with currency in usd or eur?,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
Show securities where maturity date is missing,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
List securities where maturity date is missing,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
Fetch securities where maturity date is missing,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
Retrieve securities where maturity date is missing,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
Give me securities where maturity date is missing,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
Display securities where maturity date is missing,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
What are the securities where maturity date is missing?,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
Can you show securities where maturity date is missing?,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
Show each portfolio and the isin of securities it holds,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId"
List each portfolio and the isin of securities it holds,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId"
Fetch each portfolio and the isin of securities it holds,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId"
Retrieve each portfolio and the isin of securities it holds,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId"
Give me each portfolio and the isin of securities it holds,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId"
Display each portfolio and the isin of securities it holds,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId"
What are the each portfolio and the isin of securities it holds?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId"
Can you show each portfolio and the isin of securities it holds?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId"
Show portfolio names with unrealized gains,"SELECT p.PortfolioName, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId"
List portfolio names with unrealized gains,"SELECT p.PortfolioName, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId"
Fetch portfolio names with unrealized gains,"SELECT p.PortfolioName, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId"
Retrieve portfolio names with unrealized gains,"SELECT p.PortfolioName, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId"
Give me portfolio names with unrealized gains,"SELECT p.PortfolioName, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId"
Display portfolio names with unrealized gains,"SELECT p.PortfolioName, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId"
What are the portfolio names with unrealized gains?,"SELECT p.PortfolioName, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId"
Can you show portfolio names with unrealized gains?,"SELECT p.PortfolioName, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId"
Show total amortized cost per security,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
List total amortized cost per security,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
Fetch total amortized cost per security,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
Retrieve total amortized cost per security,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
Give me total amortized cost per security,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
Display total amortized cost per security,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
What are the total amortized cost per security?,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
Can you show total amortized cost per security?,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
Show average coupon rate by currency,"SELECT CurrencyCode, AVG(CouponRate) FROM FixedIncomeSecurities GROUP BY CurrencyCode"
List average coupon rate by currency,"SELECT CurrencyCode, AVG(CouponRate) FROM FixedIncomeSecurities GROUP BY CurrencyCode"
Fetch average coupon rate by currency,"SELECT CurrencyCode, AVG(CouponRate) FROM FixedIncomeSecurities GROUP BY CurrencyCode"
Retrieve average coupon rate by currency,"SELECT CurrencyCode, AVG(CouponRate) FROM FixedIncomeSecurities GROUP BY CurrencyCode"
Give me average coupon rate by currency,"SELECT CurrencyCode, AVG(CouponRate) FROM FixedIncomeSecurities GROUP BY CurrencyCode"
Display average coupon rate by currency,"SELECT CurrencyCode, AVG(CouponRate) FROM FixedIncomeSecurities GROUP BY CurrencyCode"
What are the average coupon rate by currency?,"SELECT CurrencyCode, AVG(CouponRate) FROM FixedIncomeSecurities GROUP BY CurrencyCode"
Can you show average coupon rate by currency?,"SELECT CurrencyCode, AVG(CouponRate) FROM FixedIncomeSecurities GROUP BY CurrencyCode"
Show currencies where average coupon rate is above 6,"SELECT CurrencyCode, AVG(CouponRate) AS AvgRate FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 6"
List currencies where average coupon rate is above 6,"SELECT CurrencyCode, AVG(CouponRate) AS AvgRate FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 6"
Fetch currencies where average coupon rate is above 6,"SELECT CurrencyCode, AVG(CouponRate) AS AvgRate FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 6"
Retrieve currencies where average coupon rate is above 6,"SELECT CurrencyCode, AVG(CouponRate) AS AvgRate FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 6"
Give me currencies where average coupon rate is above 6,"SELECT CurrencyCode, AVG(CouponRate) AS AvgRate FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 6"
Display currencies where average coupon rate is above 6,"SELECT CurrencyCode, AVG(CouponRate) AS AvgRate FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 6"
What are the currencies where average coupon rate is above 6?,"SELECT CurrencyCode, AVG(CouponRate) AS AvgRate FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 6"
Can you show currencies where average coupon rate is above 6?,"SELECT CurrencyCode, AVG(CouponRate) AS AvgRate FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 6"
Show holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
List holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Fetch holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Retrieve holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Give me holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Display holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
What are the holdings with market value above average?,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Can you show holdings with market value above average?,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Show find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
List find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Fetch find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Retrieve find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Give me find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Display find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
What are the find portfolios that have at least one holding?,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Can you show find portfolios that have at least one holding?,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Show portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
List portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Fetch portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Retrieve portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Give me portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Display portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
What are the portfolio names and corresponding isins for holdings purchased after 2020?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Can you show portfolio names and corresponding isins for holdings purchased after 2020?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Show securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
List securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Fetch securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Retrieve securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Give me securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Display securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
What are the securities with their portfolio names for currency code usd?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Can you show securities with their portfolio names for currency code usd?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Show portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
List portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Fetch portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Retrieve portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Give me portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Display portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
What are the portfolio and holding details where unrealized gain exceeds 10000?,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
